iter	RMSE
0	0.9612310469
1	0.9285332367
2	0.8958624958
3	0.8651787891
4	0.8361958526
5	0.805446009
6	0.7785643468
7	0.7483430443
8	0.7218930828
9	0.6961568356
10	0.6698880533
11	0.6461211634
12	0.6229032438
13	0.6017206391
14	0.5807897904
15	0.5600664076
16	0.5397822605
17	0.5207298012
18	0.5014932104
19	0.4839030132
20	0.4652920616
21	0.4483639117
22	0.4308338729
23	0.4143194489
24	0.3993960197
25	0.3841882209
26	0.3707279902
27	0.3572759342
28	0.3445615034
29	0.3325405421
30	0.320308207
31	0.3087711642
32	0.2977616609
33	0.2861617342
34	0.2767712877
35	0.2668604941
36	0.2565698266
37	0.2474107467
38	0.2383261008
39	0.2300737975
40	0.2213756227
41	0.213483799
42	0.2057999869
43	0.1984891034
44	0.1919029389
45	0.1852030997
46	0.1783477499
47	0.172274072
48	0.1663491468
49	0.1603687918
50	0.1543364642
51	0.1490657914
52	0.1437910324
53	0.1386863833
54	0.1337620885
55	0.1292171473
56	0.1244708971
57	0.1197724783
58	0.1156010589
59	0.1113044606
60	0.1073947656
61	0.1034441711
62	0.09981650652
63	0.09643510309
64	0.09298869548
65	0.08970297109
66	0.08663575052
67	0.08362112765
68	0.08080032262
69	0.0780884138
70	0.07534595053
71	0.07261180072
72	0.07024603973
73	0.06772704615
74	0.06544188271
75	0.06318432246
76	0.06098891921
77	0.05895849871
78	0.05704656734
79	0.055110557
80	0.0532939831
81	0.05153043649
82	0.04992158526
83	0.04839405727
84	0.04689266781
85	0.04539398414
86	0.04393062779
87	0.04269771631
88	0.04137097567
89	0.04020784514
90	0.03904651544
91	0.03785354289
92	0.03671658152
93	0.03562539613
94	0.03455661919
95	0.03354208134
96	0.03255336219
97	0.03165350811
98	0.03080046395
99	0.02998450701
100	0.02918462335
101	0.02839895888
102	0.02764800802
103	0.02690592327
104	0.02623361333
105	0.02554680304
106	0.02492309795
107	0.02431168408
108	0.02376978993
109	0.02314883831
110	0.02261634949
111	0.02211039471
112	0.02162503197
113	0.02111192561
114	0.02067392139
115	0.02021738953
116	0.01982705819
117	0.01940410924
118	0.01899682206
119	0.01862687257
120	0.01824741534
121	0.01789256852
122	0.01756641312
123	0.0172461216
124	0.01692902277
125	0.01667111403
126	0.0164086985
127	0.01612752872
128	0.01585462666
129	0.01560192293
130	0.01539509131
131	0.01519374641
132	0.01496302735
133	0.01477300351
134	0.01455138186
135	0.01435703587
136	0.01414997362
137	0.0139710618
138	0.01379999878
139	0.01362059656
140	0.0134678551
141	0.01331430578
142	0.01317392304
143	0.01300169792
144	0.0128515413
145	0.01272592221
146	0.01258335962
147	0.01244075495
148	0.01230366093
149	0.01219027829
150	0.0120708207
151	0.01197474784
152	0.01185018099
153	0.01174524435
154	0.01165147063
155	0.01152685777
156	0.01145615697
157	0.01135305046
158	0.01126396786
159	0.01117050949
160	0.01108411311
161	0.01097811476
162	0.01088820647
163	0.01079555962
164	0.01072641159
165	0.01066465972
166	0.01056875913
167	0.01051021727
168	0.01044542853
169	0.01035930532
170	0.01029757303
171	0.01021085477
172	0.01014639458
173	0.01007477238
174	0.01002272162
175	0.009971400306
176	0.009912557593
177	0.009835398114
178	0.009781026803
179	0.009715741597
180	0.009659490503
181	0.009615579721
182	0.009561193215
183	0.009516653705
184	0.009473778544
185	0.009410658948
186	0.00936881833
187	0.00930709847
188	0.009270787038
189	0.00922554146
190	0.00918905452
191	0.009154592728
192	0.009114524367
193	0.009074825893
194	0.009028362673
195	0.008980187942
196	0.008946774256
197	0.008923076762
198	0.008870407712
199	0.008827391627
200	0.008799796944
201	0.008759050796
202	0.008722711045
203	0.008686799279
204	0.008646504801
205	0.008619835006
206	0.008567084684
207	0.008551110557
208	0.008517391559
209	0.0084796564
210	0.008452359581
211	0.008435429563
212	0.008400514506
213	0.008384932935
214	0.00836531691
215	0.008349219041
216	0.008318355187
217	0.008288446574
218	0.008259446592
219	0.008231283945
220	0.008188740028
221	0.008159040226
222	0.008134966505
223	0.008113952706
224	0.008097437903
225	0.008083800777
226	0.008058657863
227	0.008045715208
228	0.008011788408
229	0.007998973692
230	0.007974219632
231	0.007950231575
232	0.007922567242
233	0.007900907103
234	0.007890155542
235	0.00786269397
236	0.007840586431
237	0.007829489218
238	0.007810288716
239	0.007800250244
240	0.007781190721
241	0.007756376174
242	0.00774582715
243	0.007721885164
244	0.007711533474
245	0.007695242306
246	0.007677969527
247	0.007662085695
248	0.007644499274
249	0.007618730977
250	0.007596881238
251	0.00755845276
